192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [41], timed out (54.1 avg, 97% loss)
192.168.72.135 : [42], timed out (54.1 avg, 97% loss)
192.168.72.135 : [43], timed out (54.1 avg, 97% loss)
192.168.72.135 : [44], timed out (54.1 avg, 97% loss)
192.168.72.135 : [45], timed out (54.1 avg, 97% loss)
192.168.72.135 : [46], timed out (54.1 avg, 97% loss)
192.168.72.135 : [47], timed out (54.1 avg, 97% loss)
192.168.72.135 : [48], timed out (54.1 avg, 97% loss)
192.168.72.135 : [49], timed out (54.1 avg, 98% loss)
192.168.72.135 : [50], timed out (54.1 avg, 98% loss)
192.168.72.135 : [51], timed out (54.1 avg, 98% loss)
192.168.72.135 : [52], timed out (54.1 avg, 98% loss)
192.168.72.135 : [53], timed out (54.1 avg, 98% loss)
192.168.72.135 : [54], timed out (54.1 avg, 98% loss)
192.168.72.135 : [55], timed out (54.1 avg, 98% loss)
192.168.72.135 : [56], timed out (54.1 avg, 98% loss)
192.168.72.135 : [57], timed out (54.1 avg, 98% loss)
192.168.72.135 : [58], timed out (54.1 avg, 98% loss)
192.168.72.135 : [59], timed out (54.1 avg, 98% loss)
192.168.72.135 : [60], timed out (54.1 avg, 98% loss)
192.168.72.135 : [61], timed out (54.1 avg, 98% loss)
192.168.72.135 : [62], timed out (54.1 avg, 98% loss)
192.168.72.135 : [63], timed out (54.1 avg, 98% loss)
192.168.72.135 : [64], timed out (54.1 avg, 98% loss)
192.168.72.135 : [65], timed out (54.1 avg, 98% loss)
192.168.72.135 : [66], timed out (54.1 avg, 98% loss)
192.168.72.135 : [67], timed out (54.1 avg, 98% loss)
192.168.72.135 : [68], timed out (54.1 avg, 98% loss)
192.168.72.135 : [69], timed out (54.1 avg, 98% loss)
192.168.72.135 : [70], timed out (54.1 avg, 98% loss)
192.168.72.135 : [71], timed out (54.1 avg, 98% loss)
192.168.72.135 : [72], timed out (54.1 avg, 98% loss)
192.168.72.135 : [73], timed out (54.1 avg, 98% loss)
192.168.72.135 : [74], timed out (54.1 avg, 98% loss)
192.168.72.135 : [75], timed out (54.1 avg, 98% loss)
192.168.72.135 : [76], timed out (54.1 avg, 98% loss)
192.168.72.135 : [77], timed out (54.1 avg, 98% loss)
192.168.72.135 : [78], timed out (54.1 avg, 98% loss)
192.168.72.135 : [79], timed out (54.1 avg, 98% loss)
192.168.72.135 : [80], timed out (54.1 avg, 98% loss)
192.168.72.135 : [81], timed out (54.1 avg, 98% loss)
192.168.72.135 : [82], timed out (54.1 avg, 98% loss)
192.168.72.135 : [83], timed out (54.1 avg, 98% loss)
192.168.72.135 : [84], timed out (54.1 avg, 98% loss)
192.168.72.135 : [85], timed out (54.1 avg, 98% loss)
192.168.72.135 : [86], timed out (54.1 avg, 98% loss)
192.168.72.135 : [87], timed out (54.1 avg, 98% loss)
192.168.72.135 : [88], timed out (54.1 avg, 98% loss)
192.168.72.135 : [89], timed out (54.1 avg, 98% loss)
192.168.72.135 : [90], timed out (54.1 avg, 98% loss)
192.168.72.135 : [91], timed out (54.1 avg, 98% loss)
192.168.72.135 : [92], timed out (54.1 avg, 98% loss)
192.168.72.135 : [93], timed out (54.1 avg, 98% loss)
192.168.72.135 : [94], timed out (54.1 avg, 98% loss)
192.168.72.135 : [95], timed out (54.1 avg, 98% loss)
192.168.72.135 : [96], timed out (54.1 avg, 98% loss)
192.168.72.135 : [97], timed out (54.1 avg, 98% loss)
192.168.72.135 : [98], timed out (54.1 avg, 98% loss)
192.168.72.135 : [99], timed out (54.1 avg, 99% loss)
192.168.72.135 : [100], timed out (54.1 avg, 99% loss)
192.168.72.135 : [101], timed out (54.1 avg, 99% loss)
192.168.72.135 : [102], timed out (54.1 avg, 99% loss)
192.168.72.135 : [103], timed out (54.1 avg, 99% loss)
192.168.72.135 : [104], timed out (54.1 avg, 99% loss)
192.168.72.135 : [105], timed out (54.1 avg, 99% loss)
192.168.72.135 : [106], timed out (54.1 avg, 99% loss)
192.168.72.135 : [107], timed out (54.1 avg, 99% loss)
192.168.72.135 : [108], timed out (54.1 avg, 99% loss)
192.168.72.135 : [109], timed out (54.1 avg, 99% loss)
192.168.72.135 : [110], timed out (54.1 avg, 99% loss)
192.168.72.135 : [111], timed out (54.1 avg, 99% loss)
192.168.72.135 : [112], timed out (54.1 avg, 99% loss)
192.168.72.135 : [113], timed out (54.1 avg, 99% loss)
192.168.72.135 : [114], timed out (54.1 avg, 99% loss)
192.168.72.135 : [115], timed out (54.1 avg, 99% loss)
192.168.72.135 : [116], timed out (54.1 avg, 99% loss)
192.168.72.135 : [117], timed out (54.1 avg, 99% loss)
192.168.72.135 : [118], timed out (54.1 avg, 99% loss)
192.168.72.135 : [119], timed out (54.1 avg, 99% loss)
192.168.72.135 : [120], timed out (54.1 avg, 99% loss)
192.168.72.135 : [121], timed out (54.1 avg, 99% loss)
192.168.72.135 : [122], timed out (54.1 avg, 99% loss)
192.168.72.135 : [123], timed out (54.1 avg, 99% loss)
192.168.72.135 : [124], timed out (54.1 avg, 99% loss)
192.168.72.135 : [125], timed out (54.1 avg, 99% loss)
192.168.72.135 : [126], timed out (54.1 avg, 99% loss)
192.168.72.135 : [127], timed out (54.1 avg, 99% loss)
192.168.72.135 : [128], timed out (54.1 avg, 99% loss)
192.168.72.135 : [129], timed out (54.1 avg, 99% loss)
192.168.72.135 : [130], timed out (54.1 avg, 99% loss)
192.168.72.135 : [131], timed out (54.1 avg, 99% loss)
192.168.72.135 : [132], timed out (54.1 avg, 99% loss)
192.168.72.135 : [133], timed out (54.1 avg, 99% loss)
192.168.72.135 : [134], timed out (54.1 avg, 99% loss)
192.168.72.135 : [135], timed out (54.1 avg, 99% loss)
192.168.72.135 : [136], timed out (54.1 avg, 99% loss)
192.168.72.135 : [137], timed out (54.1 avg, 99% loss)
192.168.72.135 : [138], timed out (54.1 avg, 99% loss)
192.168.72.135 : [139], timed out (54.1 avg, 99% loss)
192.168.72.135 : [140], timed out (54.1 avg, 99% loss)
192.168.72.135 : [141], timed out (54.1 avg, 99% loss)
192.168.72.135 : [142], timed out (54.1 avg, 99% loss)
192.168.72.135 : [143], timed out (54.1 avg, 99% loss)
192.168.72.135 : [144], timed out (54.1 avg, 99% loss)
192.168.72.135 : [145], timed out (54.1 avg, 99% loss)
192.168.72.135 : [146], timed out (54.1 avg, 99% loss)
192.168.72.135 : [147], timed out (54.1 avg, 99% loss)
192.168.72.135 : [148], timed out (54.1 avg, 99% loss)
192.168.72.135 : [149], timed out (54.1 avg, 99% loss)
192.168.72.135 : [150], timed out (54.1 avg, 99% loss)
192.168.72.135 : [151], timed out (54.1 avg, 99% loss)
192.168.72.135 : [152], timed out (54.1 avg, 99% loss)
192.168.72.135 : [153], timed out (54.1 avg, 99% loss)
192.168.72.135 : [154], timed out (54.1 avg, 99% loss)
192.168.72.135 : [155], timed out (54.1 avg, 99% loss)
192.168.72.135 : [156], timed out (54.1 avg, 99% loss)
192.168.72.135 : [157], timed out (54.1 avg, 99% loss)
192.168.72.135 : [158], timed out (54.1 avg, 99% loss)
192.168.72.135 : [159], timed out (54.1 avg, 99% loss)
192.168.72.135 : [160], timed out (54.1 avg, 99% loss)
192.168.72.135 : [161], timed out (54.1 avg, 99% loss)
192.168.72.135 : [162], timed out (54.1 avg, 99% loss)
192.168.72.135 : [163], timed out (54.1 avg, 99% loss)
192.168.72.135 : [164], timed out (54.1 avg, 99% loss)
192.168.72.135 : [165], timed out (54.1 avg, 99% loss)
192.168.72.135 : [166], timed out (54.1 avg, 99% loss)
192.168.72.135 : [167], timed out (54.1 avg, 99% loss)
192.168.72.135 : [168], timed out (54.1 avg, 99% loss)
192.168.72.135 : [169], timed out (54.1 avg, 99% loss)
192.168.72.135 : [170], timed out (54.1 avg, 99% loss)
192.168.72.135 : [171], timed out (54.1 avg, 99% loss)
192.168.72.135 : [172], timed out (54.1 avg, 99% loss)
192.168.72.135 : [173], timed out (54.1 avg, 99% loss)
192.168.72.135 : [174], timed out (54.1 avg, 99% loss)
192.168.72.135 : [175], timed out (54.1 avg, 99% loss)
192.168.72.135 : [176], timed out (54.1 avg, 99% loss)
192.168.72.135 : [177], timed out (54.1 avg, 99% loss)
192.168.72.135 : [178], timed out (54.1 avg, 99% loss)
192.168.72.135 : [179], timed out (54.1 avg, 99% loss)

192.168.72.135 : xmt/rcv/%loss = 180/1/99%, min/avg/max = 54.1/54.1/54.1

       1 targets
       1 alive
       0 unreachable
       0 unknown addresses

     179 timeouts (waiting for response)
     180 ICMP Echos sent
      45 ICMP Echo Replies received
       0 other ICMP received

 54.1 ms (min round trip time)
 54.1 ms (avg round trip time)
 54.1 ms (max round trip time)
        9.902 sec (elapsed real time)

